id,injury,helmet
1,Yes,Yes
2,Yes,Yes
3,Yes,Yes
4,Yes,Yes
5,Yes,Yes
6,Yes,Yes
7,Yes,Yes
8,Yes,Yes
9,Yes,Yes
10,Yes,Yes
11,Yes,Yes
12,Yes,Yes
13,Yes,Yes
14,Yes,Yes
15,Yes,Yes
16,Yes,Yes
17,Yes,Yes
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,Yes,No
25,Yes,No
26,Yes,No
27,Yes,No
28,Yes,No
29,Yes,No
30,Yes,No
31,Yes,No
32,Yes,No
33,Yes,No
34,Yes,No
35,Yes,No
36,Yes,No
37,Yes,No
38,Yes,No
39,Yes,No
40,Yes,No
41,Yes,No
42,Yes,No
43,Yes,No
44,Yes,No
45,Yes,No
46,Yes,No
47,Yes,No
48,Yes,No
49,Yes,No
50,Yes,No
51,Yes,No
52,Yes,No
53,Yes,No
54,Yes,No
55,Yes,No
56,Yes,No
57,Yes,No
58,Yes,No
59,Yes,No
60,Yes,No
61,Yes,No
62,Yes,No
63,Yes,No
64,Yes,No
65,Yes,No
66,Yes,No
67,Yes,No
68,Yes,No
69,Yes,No
70,Yes,No
71,Yes,No
72,Yes,No
73,Yes,No
74,Yes,No
75,Yes,No
76,Yes,No
77,Yes,No
78,Yes,No
79,Yes,No
80,Yes,No
81,Yes,No
82,Yes,No
83,Yes,No
84,Yes,No
85,Yes,No
86,Yes,No
87,Yes,No
88,Yes,No
89,Yes,No
90,Yes,No
91,Yes,No
92,Yes,No
93,Yes,No
94,Yes,No
95,Yes,No
96,Yes,No
97,Yes,No
98,Yes,No
99,Yes,No
100,Yes,No
101,Yes,No
102,Yes,No
103,Yes,No
104,Yes,No
105,Yes,No
106,Yes,No
107,Yes,No
108,Yes,No
109,Yes,No
110,Yes,No
111,Yes,No
112,Yes,No
113,Yes,No
114,Yes,No
115,Yes,No
116,Yes,No
117,Yes,No
118,Yes,No
119,Yes,No
120,Yes,No
121,Yes,No
122,Yes,No
123,Yes,No
124,Yes,No
125,Yes,No
126,Yes,No
127,Yes,No
128,Yes,No
129,Yes,No
130,Yes,No
131,Yes,No
132,Yes,No
133,Yes,No
134,Yes,No
135,Yes,No
136,Yes,No
137,Yes,No
138,Yes,No
139,Yes,No
140,Yes,No
141,Yes,No
142,Yes,No
143,Yes,No
144,Yes,No
145,Yes,No
146,Yes,No
147,Yes,No
148,Yes,No
149,Yes,No
150,Yes,No
151,Yes,No
152,Yes,No
153,Yes,No
154,Yes,No
155,Yes,No
156,Yes,No
157,Yes,No
158,Yes,No
159,Yes,No
160,Yes,No
161,Yes,No
162,Yes,No
163,Yes,No
164,Yes,No
165,Yes,No
166,Yes,No
167,Yes,No
168,Yes,No
169,Yes,No
170,Yes,No
171,Yes,No
172,Yes,No
173,Yes,No
174,Yes,No
175,Yes,No
176,Yes,No
177,Yes,No
178,Yes,No
179,Yes,No
180,Yes,No
181,Yes,No
182,Yes,No
183,Yes,No
184,Yes,No
185,Yes,No
186,Yes,No
187,Yes,No
188,Yes,No
189,Yes,No
190,Yes,No
191,Yes,No
192,Yes,No
193,Yes,No
194,Yes,No
195,Yes,No
196,Yes,No
197,Yes,No
198,Yes,No
199,Yes,No
200,Yes,No
201,Yes,No
202,Yes,No
203,Yes,No
204,Yes,No
205,Yes,No
206,Yes,No
207,Yes,No
208,Yes,No
209,Yes,No
210,Yes,No
211,Yes,No
212,Yes,No
213,Yes,No
214,Yes,No
215,Yes,No
216,Yes,No
217,Yes,No
218,Yes,No
219,Yes,No
220,Yes,No
221,Yes,No
222,Yes,No
223,Yes,No
224,Yes,No
225,Yes,No
226,Yes,No
227,Yes,No
228,Yes,No
