age_grp,ca_intake
1,1820
1,2588
1,2670
1,1022
1,1555
1,222
1,1197
1,1249
1,1520
1,489
1,2575
1,1426
1,1846
1,1088
1,912
1,1383
1,1483
1,1723
1,727
1,1463
1,1777
1,1129
2,191
2,1098
2,644
2,136
2,1605
2,1247
2,1529
2,1422
2,445
2,990
2,489
2,2408
2,1064
2,629
3,724
3,613
3,918
3,949
3,877
3,1368
3,1692
3,697
3,849
3,1199
3,429
3,798
3,631
3,1016
3,1025
3,948
3,1085
3,775
3,1307
3,344
3,961
3,239
3,944
3,1096
3,1020
3,805
3,631
3,641
3,760
4,1652
4,1309
4,1002
4,966
4,788
4,472
4,471
4,771
4,869
4,513
4,731
4,1130
4,1034
4,1261
4,42
4,767
4,752
4,804
4,1182
4,1243
4,985
4,1295
4,1676
4,754
4,937
4,1022
4,1073
4,948
4,222
4,721
4,375
4,1187
4,775
4,1393
4,533
4,734
4,485
4,449
4,236
4,831
4,698
4,167
4,824
4,448
4,991
4,590
4,994
4,1781
